Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,id
Trey Alexander,Oct 24 '24 DEN vs. OKC,21,1,24,117,13,41,3,17,3,4,1,12,11,2,1,5,10,32,0.317,0.176,0.75,alexatr01
Marcus Bagley,Mar 24 '25 PHI @ NOP,23,1,10,253,27,69,5,32,8,10,23,70,10,9,12,7,16,67,0.391,0.156,0.8,baglema02
Jamison Battle,Oct 23 '24 TOR vs. CLE,23,1,59,1042,149,347,105,259,16,18,37,158,53,17,10,27,92,419,0.429,0.405,0.889,battlja01
Damion Baugh,Feb 12 '25 CHO @ ORL,24,1,15,370,42,130,12,56,13,15,14,50,56,15,2,31,22,109,0.323,0.214,0.867,baughda01
Reece Beekman,Oct 29 '24 GSW vs. NOP,23,1,36,469,35,107,7,40,16,21,13,39,63,33,2,21,36,93,0.327,0.175,0.762,beekmre01
Adem Bona,Oct 23 '24 PHI vs. MIL,21,1,58,905,135,192,0,1,67,100,92,245,27,26,69,61,125,337,0.703,0.0,0.67,bonaad01
Jalen Bridges,Nov 13 '24 PHO @ SAC,23,1,8,30,2,7,2,7,3,4,0,4,0,0,0,4,0,9,0.286,0.286,0.75,bridgja01
Keion Brooks Jr.,Feb 5 '25 NOP @ DEN,24,1,14,332,53,109,14,43,22,30,12,58,13,10,10,12,30,142,0.486,0.326,0.733,brookke02
Matas Buzelis,Oct 23 '24 CHI @ NOP,20,1,80,1511,252,555,96,266,88,108,55,278,79,29,75,74,128,688,0.454,0.361,0.815,buzelma01
Branden Carlson,Nov 25 '24 OKC @ SAC,25,1,32,246,43,97,22,66,14,18,17,54,14,5,21,7,22,122,0.443,0.333,0.778,carlsbr01
Bub Carrington,Oct 24 '24 WAS vs. BOS,19,1,82,2458,300,748,138,407,69,85,33,341,364,54,21,141,190,807,0.401,0.339,0.812,carrica01
Devin Carter,Jan 3 '25 SAC vs. MEM,22,1,36,396,47,127,18,61,26,44,19,76,41,21,4,18,39,138,0.37,0.295,0.591,cartede02
Stephon Castle,Oct 24 '24 SAS @ DAL,20,1,81,2162,423,988,95,333,249,344,89,297,332,74,22,177,164,1190,0.428,0.285,0.724,castlst01
Ulrich Chomche,Oct 23 '24 TOR vs. CLE,19,1,7,32,2,5,0,0,1,2,4,8,2,0,1,2,5,5,0.4,,0.5,chomcul01
Cam Christie,Dec 4 '24 LAC vs. MIN,19,1,13,59,7,24,2,13,2,4,3,12,6,5,1,2,4,18,0.292,0.154,0.5,chrisca02
Jaylen Clark,Jan 9 '25 MIN @ ORL,23,1,40,522,56,120,22,51,29,37,26,53,26,36,2,8,61,163,0.467,0.431,0.784,clarkja02
Donovan Clingan,Oct 23 '24 POR vs. GSW,20,1,67,1324,180,334,14,49,62,104,217,527,77,34,110,72,189,436,0.539,0.286,0.596,clingdo01
Isaiah Collier,Nov 7 '24 UTA @ MIL,20,1,71,1839,234,555,42,169,105,154,32,235,446,66,16,208,149,615,0.422,0.249,0.682,colliis01
Yuri Collins,Feb 23 '25 GSW vs. DAL,23,1,2,16,1,3,0,0,0,0,2,3,4,2,0,0,5,2,0.333,,,colliyu01
Isaiah Crawford,Dec 8 '24 SAC vs. UTA,23,1,15,46,5,11,1,5,2,4,1,8,1,1,2,1,2,13,0.455,0.2,0.5,crawfis01
Cui Yongxi,Oct 27 '24 BRK vs. MIL,21,1,5,10,1,7,0,3,1,2,0,2,0,0,0,0,0,3,0.143,0.0,0.5,cuiyo01
Tristan Da Silva,Oct 23 '24 ORL @ MIA,23,1,74,1629,199,483,80,239,55,63,73,245,113,33,18,56,94,533,0.412,0.335,0.873,dasiltr01
Pacome Dadiet,Oct 22 '24 NYK @ BOS,19,1,18,111,10,31,6,19,4,6,3,18,5,3,2,4,7,30,0.323,0.316,0.667,dadiepa01
N'Faly Dante,Mar 3 '25 HOU @ OKC,23,1,4,51,10,13,0,0,4,5,6,21,2,1,5,2,9,24,0.769,,0.8,nfalyda01
RayJ Dennis,Jan 10 '25 IND vs. GSW,23,1,11,70,11,33,6,21,2,2,2,12,14,7,2,5,7,30,0.333,0.286,1.0,dennira01
Rob Dillingham,Nov 2 '24 MIN @ SAS,20,1,49,516,93,211,25,74,8,15,12,50,98,20,1,53,37,219,0.441,0.338,0.533,dilliro01
Alex Ducas,Oct 24 '24 OKC @ DEN,24,1,21,125,12,30,10,21,2,2,9,26,5,5,0,4,12,36,0.4,0.476,1.0,ducasal01
Ryan Dunn,Oct 23 '24 PHO @ LAC,22,1,74,1410,205,477,82,264,19,39,92,267,57,44,40,40,162,511,0.43,0.311,0.487,dunnry01
Zach Edey,Oct 23 '24 MEM @ UTA,22,1,66,1416,251,433,18,52,90,127,232,548,65,36,85,88,182,610,0.58,0.346,0.709,edeyza01
Jesse Edwards,Mar 2 '25 MIN @ PHO,24,1,2,5,0,0,0,0,0,0,0,0,1,0,0,0,2,0,,,,edwarje01
Justin Edwards,Nov 24 '24 PHI vs. LAC,21,1,44,1155,172,378,69,190,32,46,46,148,69,45,16,49,98,445,0.455,0.363,0.696,edwarju01
