Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,id
1,Trey Alexander,Oct 24 '24 DEN vs. OKC,21,1,24,117,13,41,3,17,3,4,1,12,11,2,1,5,10,32,.317,.176,.750,4.9,1.3,0.5,0.5,0.1,0.0,alexatr01
2,Marcus Bagley,Mar 24 '25 PHI @ NOP,23,1,10,253,27,69,5,32,8,10,23,70,10,9,12,7,16,67,.391,.156,.800,25.3,6.7,7.0,1.0,0.9,1.2,baglema02
3,Jamison Battle,Oct 23 '24 TOR vs. CLE,23,1,59,1042,149,347,105,259,16,18,37,158,53,17,10,27,92,419,.429,.405,.889,17.7,7.1,2.7,0.9,0.3,0.2,battlja01
4,Damion Baugh,Feb 12 '25 CHO @ ORL,24,1,15,370,42,130,12,56,13,15,14,50,56,15,2,31,22,109,.323,.214,.867,24.7,7.3,3.3,3.7,1.0,0.1,baughda01
5,Reece Beekman,Oct 29 '24 GSW vs. NOP,23,1,36,469,35,107,7,40,16,21,13,39,63,33,2,21,36,93,.327,.175,.762,13.0,2.6,1.1,1.8,0.9,0.1,beekmre01
6,Adem Bona,Oct 23 '24 PHI vs. MIL,21,1,58,905,135,192,0,1,67,100,92,245,27,26,69,61,125,337,.703,.000,.670,15.6,5.8,4.2,0.5,0.4,1.2,bonaad01
7,Jalen Bridges,Nov 13 '24 PHO @ SAC,23,1,8,30,2,7,2,7,3,4,0,4,0,0,0,4,0,9,.286,.286,.750,3.8,1.1,0.5,0.0,0.0,0.0,bridgja01
8,Keion Brooks Jr.,Feb 5 '25 NOP @ DEN,24,1,14,332,53,109,14,43,22,30,12,58,13,10,10,12,30,142,.486,.326,.733,23.7,10.1,4.1,0.9,0.7,0.7,brookke02
9,Matas Buzelis,Oct 23 '24 CHI @ NOP,20,1,80,1511,252,555,96,266,88,108,55,278,79,29,75,74,128,688,.454,.361,.815,18.9,8.6,3.5,1.0,0.4,0.9,buzelma01
10,Branden Carlson,Nov 25 '24 OKC @ SAC,25,1,32,246,43,97,22,66,14,18,17,54,14,5,21,7,22,122,.443,.333,.778,7.7,3.8,1.7,0.4,0.2,0.7,carlsbr01
11,Bub Carrington,Oct 24 '24 WAS vs. BOS,19,1,82,2458,300,748,138,407,69,85,33,341,364,54,21,141,190,807,.401,.339,.812,30.0,9.8,4.2,4.4,0.7,0.3,carrica01
12,Devin Carter,Jan 3 '25 SAC vs. MEM,22,1,36,396,47,127,18,61,26,44,19,76,41,21,4,18,39,138,.370,.295,.591,11.0,3.8,2.1,1.1,0.6,0.1,cartede02
13,Stephon Castle,Oct 24 '24 SAS @ DAL,20,1,81,2162,423,988,95,333,249,344,89,297,332,74,22,177,164,1190,.428,.285,.724,26.7,14.7,3.7,4.1,0.9,0.3,castlst01
14,Ulrich Chomche,Oct 23 '24 TOR vs. CLE,19,1,7,32,2,5,0,0,1,2,4,8,2,0,1,2,5,5,.400,,.500,4.6,0.7,1.1,0.3,0.0,0.1,chomcul01
15,Cam Christie,Dec 4 '24 LAC vs. MIN,19,1,13,59,7,24,2,13,2,4,3,12,6,5,1,2,4,18,.292,.154,.500,4.5,1.4,0.9,0.5,0.4,0.1,chrisca02
16,Jaylen Clark,Jan 9 '25 MIN @ ORL,23,1,40,522,56,120,22,51,29,37,26,53,26,36,2,8,61,163,.467,.431,.784,13.1,4.1,1.3,0.7,0.9,0.1,clarkja02
17,Donovan Clingan,Oct 23 '24 POR vs. GSW,20,1,67,1324,180,334,14,49,62,104,217,527,77,34,110,72,189,436,.539,.286,.596,19.8,6.5,7.9,1.1,0.5,1.6,clingdo01
18,Isaiah Collier,Nov 7 '24 UTA @ MIL,20,1,71,1839,234,555,42,169,105,154,32,235,446,66,16,208,149,615,.422,.249,.682,25.9,8.7,3.3,6.3,0.9,0.2,colliis01
19,Yuri Collins,Feb 23 '25 GSW vs. DAL,23,1,2,16,1,3,0,0,0,0,2,3,4,2,0,0,5,2,.333,,,8.0,1.0,1.5,2.0,1.0,0.0,colliyu01
20,Isaiah Crawford,Dec 8 '24 SAC vs. UTA,23,1,15,46,5,11,1,5,2,4,1,8,1,1,2,1,2,13,.455,.200,.500,3.1,0.9,0.5,0.1,0.1,0.1,crawfis01
21,Cui Yongxi,Oct 27 '24 BRK vs. MIL,21,1,5,10,1,7,0,3,1,2,0,2,0,0,0,0,0,3,.143,.000,.500,2.0,0.6,0.4,0.0,0.0,0.0,cuiyo01
22,Tristan Da Silva,Oct 23 '24 ORL @ MIA,23,1,74,1629,199,483,80,239,55,63,73,245,113,33,18,56,94,533,.412,.335,.873,22.0,7.2,3.3,1.5,0.4,0.2,dasiltr01
23,Pacome Dadiet,Oct 22 '24 NYK @ BOS,19,1,18,111,10,31,6,19,4,6,3,18,5,3,2,4,7,30,.323,.316,.667,6.2,1.7,1.0,0.3,0.2,0.1,dadiepa01
24,N'Faly Dante,Mar 3 '25 HOU @ OKC,23,1,4,51,10,13,0,0,4,5,6,21,2,1,5,2,9,24,.769,,.800,12.8,6.0,5.3,0.5,0.3,1.3,nfalyda01
25,RayJ Dennis,Jan 10 '25 IND vs. GSW,23,1,11,70,11,33,6,21,2,2,2,12,14,7,2,5,7,30,.333,.286,1.000,6.4,2.7,1.1,1.3,0.6,0.2,dennira01
